"sample_id","gene","comparison_group_candidate","cells_candidate","mean_expression_candidate","percent_cells_expressing_candidate","comparison_group_other","cells_other","mean_expression_other","percent_cells_expressing_other","mean_difference","prevalence_difference"
"S4","SLC2A1","candidate_fibroblast_state",641,0.120771698931301,8.11232449297972,"other_clusters",1503,0.626115075669866,41.9161676646707,-0.505343376738565,-33.8038431716909
"S4","SMAD2","candidate_fibroblast_state",641,0.228363011165105,14.6645865834633,"other_clusters",1503,0.199332317005655,17.9640718562874,0.0290306941594499,-3.29948527282409
"S4","SMAD3","candidate_fibroblast_state",641,0.158717301376343,10.6084243369735,"other_clusters",1503,0.152788290975516,14.4377910844977,0.00592901040082669,-3.82936674752419
"S4","SMAD4","candidate_fibroblast_state",641,0.0818024896834215,5.77223088923557,"other_clusters",1503,0.0762557880594842,8.05056553559548,0.00554670162393733,-2.27833464635991
"S4","SMAD7","candidate_fibroblast_state",641,0.0313983989362418,2.18408736349454,"other_clusters",1503,0.0311361243751933,3.32667997338656,0.000262274561048523,-1.14259260989202
"S4","SNAI1","candidate_fibroblast_state",641,0.133729515092918,8.42433697347894,"other_clusters",1503,0.0419233867405443,3.32667997338656,0.0918061283523738,5.09765700009238
"S4","SOCS3","candidate_fibroblast_state",641,1.11143021651459,53.198127925117,"other_clusters",1503,0.713996774435878,42.3819028609448,0.397433442078711,10.8162250641722
"S4","SPARC","candidate_fibroblast_state",641,1.92259867309511,76.5990639625585,"other_clusters",1503,0.357632555921175,26.8130405854957,1.56496611717393,49.7860233770628
"S4","SRC","candidate_fibroblast_state",641,0.0475177903238102,3.27613104524181,"other_clusters",1503,0.0350912178421365,3.32667997338656,0.0124265724816736,-0.0505489281447504
"S4","STAT3","candidate_fibroblast_state",641,0.584585839843984,34.4773790951638,"other_clusters",1503,0.50952022471975,38.855622089155,0.0750656151242339,-4.37824299399121
"S4","STK3","candidate_fibroblast_state",641,0.208942256894029,13.8845553822153,"other_clusters",1503,0.153631627278755,14.3712574850299,0.0553106296152743,-0.486702102814652
"S4","STK4","candidate_fibroblast_state",641,0.129512699016197,8.11232449297972,"other_clusters",1503,0.318273167924181,21.7564870259481,-0.188760468907985,-13.6441625329684
"S4","TAGLN","candidate_fibroblast_state",641,0.250026056490406,13.5725429017161,"other_clusters",1503,0.173743550999681,11.377245508982,0.0762825054907247,2.19529739273403
"S4","TEAD1","candidate_fibroblast_state",641,0.17166502049988,11.5444617784711,"other_clusters",1503,0.223199223530661,20.292747837658,-0.0515342030307819,-8.74828605918688
"S4","TEAD2","candidate_fibroblast_state",641,0.0637818900075847,4.52418096723869,"other_clusters",1503,0.0232211300102659,2.06254158349967,0.0405607599973188,2.46163938373902
"S4","TEAD3","candidate_fibroblast_state",641,0.0340903337585929,2.34009360374415,"other_clusters",1503,0.0528973913081498,5.65535595475715,-0.0188070575495569,-3.315262351013
"S4","TEAD4","candidate_fibroblast_state",641,0.0201318040307749,1.40405616224649,"other_clusters",1503,0.0351478459834411,3.32667997338656,-0.0150160419526662,-1.92262381114007
"S4","TGFB1","candidate_fibroblast_state",641,0.122164348059646,8.11232449297972,"other_clusters",1503,0.133049365668286,11.3107119095143,-0.0108850176086398,-3.19838741653458
"S4","TGFB2","candidate_fibroblast_state",641,0.0411879600530979,2.65210608424337,"other_clusters",1503,0.0296873082853298,2.59481037924152,0.0115006517677681,0.0572957050018532
"S4","TGFB3","candidate_fibroblast_state",641,0.0630895701063776,4.21216848673947,"other_clusters",1503,0.0283885533387898,2.52827677977379,0.0347010167675878,1.68389170696568
"S4","TGFBR1","candidate_fibroblast_state",641,0.140968671281526,8.58034321372855,"other_clusters",1503,0.049950038337063,4.79041916167665,0.0910186329444626,3.7899240520519
"S4","TGFBR2","candidate_fibroblast_state",641,0.319396491087236,20.9048361934477,"other_clusters",1503,0.242108588086485,17.564870259481,0.0772879030007505,3.3399659339667
"S4","THBS1","candidate_fibroblast_state",641,1.19568032179161,56.3182527301092,"other_clusters",1503,0.268152936799851,19.560878243513,0.927527384991756,36.7573744865962
"S4","THBS2","candidate_fibroblast_state",641,1.22994402504445,61.6224648985959,"other_clusters",1503,0.134725211424784,11.9760479041916,1.09521881361967,49.6464169944043
"S4","TIMP1","candidate_fibroblast_state",641,2.05809295066444,86.4274570982839,"other_clusters",1503,0.776152817331219,45.1763140385895,1.28194013333322,41.2511430596944
"S4","TIMP2","candidate_fibroblast_state",641,1.77576969432901,77.0670826833073,"other_clusters",1503,0.308899657669754,23.0871590153027,1.46687003665926,53.9799236680046
