"sample_id","comparison_group","gene","cells","mean_expression","percent_cells_expressing"
"S1","candidate_fibroblast_state","SLC2A1",1042,0.0605182535671774,4.03071017274472
"S1","candidate_fibroblast_state","LDHA",1042,1.89401414206935,85.700575815739
"S1","candidate_fibroblast_state","PDK1",1042,0.0646121016819138,4.70249520153551
"S1","candidate_fibroblast_state","BNIP3",1042,0.10626169265079,7.86948176583493
"S1","candidate_fibroblast_state","CA9",1042,0,0
"S1","candidate_fibroblast_state","ADM",1042,0.571980811722714,30.1343570057582
"S1","candidate_fibroblast_state","NDRG1",1042,0.363128366874651,25.2399232245681
"S1","candidate_fibroblast_state","PGK1",1042,0.42177651268773,28.6948176583493
"S1","candidate_fibroblast_state","ENO1",1042,0.84549245406498,51.3435700575816
"S1","candidate_fibroblast_state","HK2",1042,0.0290755083704243,2.20729366602687
"S1","candidate_fibroblast_state","DDIT4",1042,0.671750259150768,37.4280230326296
"S1","candidate_fibroblast_state","PFKFB3",1042,0.235542647009341,15.4510556621881
"S1","candidate_fibroblast_state","MKI67",1042,0.00282065125825322,0.287907869481766
"S1","candidate_fibroblast_state","TOP2A",1042,0.00895427591857544,0.671785028790787
"S1","candidate_fibroblast_state","PCNA",1042,0.152096718278831,10.8445297504798
"S1","candidate_fibroblast_state","MCM2",1042,0.0137017021840593,1.05566218809981
"S1","candidate_fibroblast_state","MCM3",1042,0.0620206089379127,4.41458733205374
"S1","candidate_fibroblast_state","MCM4",1042,0.022490727888491,1.53550863723608
"S1","candidate_fibroblast_state","MCM5",1042,0.0378770916565465,2.97504798464491
"S1","candidate_fibroblast_state","MCM6",1042,0.0199268471177376,1.53550863723608
"S1","candidate_fibroblast_state","MCM7",1042,0.0976712878963458,7.10172744721689
"S1","candidate_fibroblast_state","CDK1",1042,0.00267418904768479,0.287907869481766
"S1","candidate_fibroblast_state","CDK2",1042,0.0839878424842722,6.33397312859885
"S1","candidate_fibroblast_state","CCNB1",1042,0.0075728205813229,0.575815738963532
"S1","candidate_fibroblast_state","CCNB2",1042,0.00342370428454231,0.287907869481766
"S1","candidate_fibroblast_state","CCNA2",1042,0.0048317713641214,0.287907869481766
"S1","candidate_fibroblast_state","CDC20",1042,0.00289046594857995,0.191938579654511
"S1","candidate_fibroblast_state","BIRC5",1042,0.00237455786223402,0.191938579654511
"S1","candidate_fibroblast_state","UBE2C",1042,0.00707572700575016,0.575815738963532
