"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr","expected_marker_class"
"2","VSMC","LOXL2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-4.0971760599576,-3.77141774738748,-6.89680982619568,0,0,1.77614885819002,0.0193894768341694,NA,NA,"Myofib"
"3","Pericyte","LOXL2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-1.21098397836907,-1.09535314831869,-1.98775703745507,0.125,0.125,11.5492957746479,0.147344235300561,0.0208625823327655,0.105570956829622,"Myofib"
"0","FB","PDPN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.68156386497859,2.70831379807771,-2.7908384596097,0.666666666666667,0.666666666666667,16.448476992871,0.196584868681291,0.0580240199462214,0.111797357569386,"Myofib"
"1","Myofib","PDPN",3,"DD1;DD2;DD3",3.72086253974597,3.25691471448823,2.07646779234618,1,1,84.2462311557789,1.26155640887436,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","PDPN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.53723242391381,-6.30148843185198,-8.63635808828214,0,0,0.36650690724556,0.00237538765907318,NA,NA,"Myofib"
"3","Pericyte","PDPN",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-5.46486950870831,-5.44704996862565,-6.28054078738875,0,0,1.40845070422535,0.0127889905660579,NA,NA,"Myofib"
"0","FB","SCX",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",1.4534716276532,0.446379942991736,-5.40020185382557,0.555555555555556,0.555555555555556,8.54180168502916,0.109348633970449,0.722282962716192,0.784856726176666,"Myofib"
"1","Myofib","SCX",3,"DD1;DD2;DD3",5.07539530347407,5.21942100400261,4.89235962610156,1,1,82.7638190954774,1.6252913340722,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","SCX",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-4.57552358294474,-3.92053423671151,-7.63740176202363,0.111111111111111,0.111111111111111,1.12771356075557,0.00975586932272239,NA,NA,"Myofib"
"3","Pericyte","SCX",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-4.9424133928475,-4.60151315023123,-7.36274908606372,0,0,0.774647887323944,0.00773288910922666,NA,NA,"Myofib"
"0","FB","TNFRSF12A",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-1.56281076820923,-0.950883601353302,-2.49193326207511,0.222222222222222,0.111111111111111,15.2041477640959,0.202154474051974,0.0440109840129515,0.0916513669814915,"Myofib"
"1","Myofib","TNFRSF12A",3,"DD1;DD2;DD3",1.90721263169411,2.14397760103103,1.78384024514241,1,1,73.391959798995,1.052394927879,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","TNFRSF12A",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-0.31815531274833,0.017175983358909,-1.80829690246404,0.444444444444444,0.444444444444444,19.7631801522413,0.298546760204748,1,1,"Myofib"
"3","Pericyte","TNFRSF12A",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-0.899277112647912,-0.97621244570972,-2.17969788187284,0,0,13.5211267605634,0.1824976304562,0.0142661867014469,0.0990762069541866,"Myofib"
"0","FB","MCAM",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-7.55523337434431,-7.00929458089518,-10.5305153287528,0,0,0.868438107582631,0.00949406974503768,NA,NA,"Pericyte"
