"module","gene","step06_candidate_tier","myofib_percent_cells_expressing","myofib_mean_log_normalized_expression","DD_samples","median_Myofib_minus_FB","minimum_Myofib_minus_FB","positive_fraction_vs_FB","median_Myofib_minus_VSMC","minimum_Myofib_minus_VSMC","positive_fraction_vs_VSMC","median_Myofib_minus_Pericyte","minimum_Myofib_minus_Pericyte","positive_fraction_vs_Pericyte","minimum_difference_over_all_donors_and_identities","specificity_class"
"mechanosensor_channels","P2RX4","C_no_specific_enrichment",15.1758793969849,0.110094852957597,3,-0.235566781853255,-0.432845367781082,0.333333333333333,0.120580311601803,0.0350594496956749,1,-0.347005215884447,-0.832561576150314,0,-0.832561576150314,"donor_or_identity_dependent"
"mechanosensor_channels","ASIC2","C_no_specific_enrichment",0.150753768844221,0.000790093895459776,3,0,-0.196165295656664,0.333333333333333,0,-1.05841873077807,0.333333333333333,0.374089057540959,0,0.666666666666667,-1.05841873077807,"donor_or_identity_dependent"
"mechanosensor_channels","PIEZO1","C_no_specific_enrichment",8.34170854271357,0.0624194816813093,3,-0.834420047222558,-1.10233634964847,0,1.88240669442636,1.79062306040496,1,1.18034293495416,-0.0302475642598674,0.666666666666667,-1.10233634964847,"donor_or_identity_dependent"
"mechanosensor_channels","TRPC1","C_no_specific_enrichment",4.49748743718593,0.0319239669131902,3,-0.746391697208074,-0.8730177909186,0,-0.70199575551689,-1.26838222024564,0.333333333333333,-0.739857938146764,-0.902790498734262,0,-1.26838222024564,"donor_or_identity_dependent"
"mechanosensor_channels","ASIC1","C_no_specific_enrichment",2.46231155778894,0.0143374159892211,3,-0.172102364502637,-1.34937260707211,0,1.49602273820527,0.905132451763454,1,0.648634257856471,0.043864714674681,1,-1.34937260707211,"donor_or_identity_dependent"
"mechanosensor_channels","KCNK4","C_no_specific_enrichment",0.50251256281407,0.00311693435216377,3,-0.242560203202934,-1.56782353184506,0,1.1777962839458,0.799130765191471,1,1.1777962839458,0.799130765191471,1,-1.56782353184506,"donor_or_identity_dependent"
"mechanosensor_channels","KCNK2","C_no_specific_enrichment",1.93467336683417,0.0142655919588396,3,-0.945254661584016,-1.59318071641071,0,2.86776064285326,1.80879002088738,1,1.80879002088738,1.74222865399346,1,-1.59318071641071,"donor_or_identity_dependent"
"mechanosensor_channels","ASIC3","C_no_specific_enrichment",0.376884422110553,0.0027194091820088,3,-0.888563495001508,-1.51215069864852,0,0.53010216293695,0,0.666666666666667,0,-1.6439805373496,0.333333333333333,-1.6439805373496,"donor_or_identity_dependent"
"actomyosin_rho","FLNA","B_partial_support",79.8994974874372,1.01501991610545,3,0.425802383890232,-0.0641651858129002,0.666666666666667,-1.48790160362241,-1.85628030029338,0,-0.266692950307871,-0.696097431418915,0,-1.85628030029338,"donor_or_identity_dependent"
"FB_control","PDGFRA","not_in_step06_shortlist",NA,NA,3,-0.90840678558632,-1.90057778165856,0,6.03980486676165,5.92125928960973,1,3.71172760386946,3.64443465680025,1,-1.90057778165856,"donor_or_identity_dependent"
"mechanosensor_channels","P2RX7","C_no_specific_enrichment",1.23115577889447,0.00838198059894303,3,-1.37002519420291,-1.94229806905783,0,-1.04322138811615,-1.70464271138352,0.333333333333333,-1.80716577275821,-1.85396322571773,0,-1.94229806905783,"donor_or_identity_dependent"
"mechanosensor_channels","TRPC3","C_no_specific_enrichment",0.477386934673367,0.00335692503581521,3,0,-0.111398793874033,0.333333333333333,-1.94287197145328,-2.04402593046505,0,-0.545927435459432,-1.22720398045756,0.333333333333333,-2.04402593046505,"donor_or_identity_dependent"
"mechanosensor_channels","TMEM150C","C_no_specific_enrichment",3.21608040201005,0.0222286381066967,3,-1.94112992185745,-2.23712562506162,0,2.64346971947683,2.61007638163791,1,1.95616471183998,0.432932633419431,1,-2.23712562506162,"donor_or_identity_dependent"
"mechanosensor_channels","TMEM63A","C_no_specific_enrichment",5.75376884422111,0.0376289461533939,3,-0.770219072197042,-3.00443303464303,0,-1.56863601829749,-2.66115834411129,0,-1.14547473950521,-2.93418858914368,0,-3.00443303464303,"donor_or_identity_dependent"
"mechanosensor_channels","TRPC6","C_no_specific_enrichment",0.226130653266332,0.00169445063021141,3,-0.49820345839769,-1.22636743857079,0.333333333333333,-4.60826224705611,-4.74571558559227,0,-5.58890639787215,-5.97693280137247,0,-5.97693280137247,"donor_or_identity_dependent"
"FB_control","APOD","not_in_step06_shortlist",NA,NA,3,-11.0558153272161,-11.8538704993699,0,-0.317289437731286,-2.55903571601118,0.333333333333333,-1.90320745183702,-2.7611389943208,0.333333333333333,-11.8538704993699,"donor_or_identity_dependent"
