"gene","sample","comparator_identity","myofib_log2CPM","comparator_log2CPM","myofib_minus_comparator_log2CPM"
"MYLK","DD3","VSMC",5.72228009869183,9.51980163327598,-3.79752153458414
"MYLK","DD3","Pericyte",5.72228009869183,8.31788337369353,-2.5956032750017
"ILK","DD1","FB",8.25735851842965,7.63327723856306,0.624081279866592
"ILK","DD1","VSMC",8.25735851842965,8.70117842159417,-0.443819903164526
"ILK","DD1","Pericyte",8.25735851842965,8.00621921207757,0.251139306352078
"ILK","DD2","FB",7.81691959452968,7.11413287552477,0.70278671900491
"ILK","DD2","VSMC",7.81691959452968,8.15645560347678,-0.339536008947095
"ILK","DD2","Pericyte",7.81691959452968,7.27115992145224,0.545759673077445
"ILK","DD3","FB",8.18919549136004,7.43151348566168,0.757682005698361
"ILK","DD3","VSMC",8.18919549136004,8.59852843142463,-0.409332940064587
"ILK","DD3","Pericyte",8.18919549136004,7.55337334548118,0.635822145878862
"MYL9","DD1","FB",9.33298214083073,8.64730981167721,0.685672329153517
"MYL9","DD1","VSMC",9.33298214083073,12.7346739125439,-3.40169177171319
"MYL9","DD1","Pericyte",9.33298214083073,11.8572732003382,-2.52429105950747
"MYL9","DD2","FB",9.07951017772041,8.50187636946207,0.577633808258348
"MYL9","DD2","VSMC",9.07951017772041,12.4251061225927,-3.34559594487224
"MYL9","DD2","Pericyte",9.07951017772041,11.0684233629895,-1.98891318526911
"MYL9","DD3","FB",9.38552304626324,8.5012948792631,0.88422816700014
"MYL9","DD3","VSMC",9.38552304626324,12.4494571420891,-3.06393409582586
"MYL9","DD3","Pericyte",9.38552304626324,11.1133049698834,-1.72778192362014
"NF2","DD1","FB",5.16523545743482,4.49545185430219,0.66978360313263
"NF2","DD1","VSMC",5.16523545743482,3.59717847764431,1.56805697979052
"NF2","DD1","Pericyte",5.16523545743482,4.12038953216768,1.04484592526715
"NF2","DD2","FB",5.0190186386982,4.07205401860252,0.946964620095679
"NF2","DD2","VSMC",5.0190186386982,3.20433149770841,1.81468714098979
"NF2","DD2","Pericyte",5.0190186386982,3.78799042555696,1.23102821314125
"NF2","DD3","FB",4.9651863641231,4.28891716108398,0.676269203039121
"NF2","DD3","VSMC",4.9651863641231,3.5414486439047,1.4237377202184
"NF2","DD3","Pericyte",4.9651863641231,4.43196528186372,0.533221082259383
"PARVA","DD1","FB",6.87793339475165,6.09657087479672,0.781362519954935
"PARVA","DD1","VSMC",6.87793339475165,4.647371067335,2.23056232741665
"PARVA","DD1","Pericyte",6.87793339475165,6.09761383294983,0.780319561801828
"PARVA","DD2","FB",6.95242782353253,6.28766681582807,0.664761007704452
"PARVA","DD2","VSMC",6.95242782353253,4.69444365910102,2.2579841644315
"PARVA","DD2","Pericyte",6.95242782353253,5.86518508932561,1.08724273420691
"PARVA","DD3","FB",6.95346446057354,6.29842513266687,0.655039327906664
"PARVA","DD3","VSMC",6.95346446057354,5.48215496575197,1.47130949482157
"PARVA","DD3","Pericyte",6.95346446057354,5.96526864707131,0.988195813502222
"PKD2","DD1","FB",5.54192195368345,4.84198813609533,0.699933817588125
"PKD2","DD1","VSMC",5.54192195368345,3.18164402064559,2.36027793303786
"PKD2","DD1","Pericyte",5.54192195368345,4.41053304596781,1.13138890771564
"PKD2","DD2","FB",5.3375066790625,4.80015334616606,0.537353332896445
"PKD2","DD2","VSMC",5.3375066790625,4.66131949367804,0.676187185384459
"PKD2","DD2","Pericyte",5.3375066790625,5.71717867215504,-0.379671993092543
"PKD2","DD3","FB",5.98245054864061,5.35295513558304,0.629495413057565
"PKD2","DD3","VSMC",5.98245054864061,4.74193209625764,1.24051845238296
"PKD2","DD3","Pericyte",5.98245054864061,5.53896681198369,0.443483736656924
"VCL","DD1","FB",6.43891878457417,5.70221160394901,0.736707180625155
"VCL","DD1","VSMC",6.43891878457417,6.77934815570612,-0.340429371131957
"VCL","DD1","Pericyte",6.43891878457417,7.13504704588754,-0.69612826131337
"VCL","DD2","FB",6.70713058438623,6.14259494418225,0.564535640203975
"VCL","DD2","VSMC",6.70713058438623,6.97471711187394,-0.267586527487705
"VCL","DD2","Pericyte",6.70713058438623,7.18071709772412,-0.473586513337887
"VCL","DD3","FB",6.19823252238199,6.04325908027139,0.154973442110597
"VCL","DD3","VSMC",6.19823252238199,7.19852313202277,-1.00029060964078
"VCL","DD3","Pericyte",6.19823252238199,6.93060597749656,-0.732373455114569
"TEAD4","DD1","FB",3.06297340197105,1.21858192786571,1.84439147410534
"TEAD4","DD1","VSMC",3.06297340197105,2.36041075751556,0.702562644455491
