"sample","source","seurat_cluster","reproduced_identity","singlet_cells","gene","percent_cells_expressing","mean_log_normalized_expression"
"SF1","SF","0","FB",1199,"TEAD1",5.42118432026689,0.0636750378191019
"SF1","SF","0","FB",1199,"CDC42",68.3069224353628,1.05729824243123
"SF1","SF","0","FB",1199,"FERMT2",29.7748123436197,0.365643750480357
"SF1","SF","0","FB",1199,"TLN1",28.3569641367807,0.337827173677165
"SF1","SF","0","FB",1199,"PKD1",14.7623019182652,0.180117670178895
"SF1","SF","0","FB",1199,"TLN2",7.9232693911593,0.0854661261439652
"SF1","SF","0","FB",1199,"RAC1",83.3194328607173,1.48544159858083
"SF1","SF","0","FB",1199,"YAP1",7.17264386989158,0.0808537960161647
"SF1","SF","0","FB",1199,"PIEZO1",5.33778148457047,0.0634681132795154
"SF1","SF","0","FB",1199,"TRPV4",0.0834028356964137,0.000782846580708207
"SF1","SF","0","FB",1199,"TRPA1",0,0
"SF1","SF","0","FB",1199,"TRPC1",2.25187656380317,0.0249192229202707
"SF1","SF","0","FB",1199,"TRPC3",0,0
"SF1","SF","0","FB",1199,"TRPC6",0.583819849874896,0.00681746122326996
"SF1","SF","0","FB",1199,"ASIC1",0.500417014178482,0.00435743391469071
"SF1","SF","0","FB",1199,"ASIC2",0.333611342785655,0.00276576881397092
"SF1","SF","0","FB",1199,"ASIC3",0.166805671392827,0.00309253855491496
"SF1","SF","0","FB",1199,"KCNK2",1.8348623853211,0.0215613865015669
"SF1","SF","0","FB",1199,"KCNK4",0,0
"SF1","SF","0","FB",1199,"TMEM63A",3.50291909924937,0.0394620885505283
"SF1","SF","0","FB",1199,"TMEM150C",0.834028356964137,0.00904692961992085
"SF1","SF","0","FB",1199,"P2RX4",6.33861551292744,0.0654137295399849
"SF1","SF","0","FB",1199,"P2RX7",0.667222685571309,0.00851836559946139
"SF1","SF","0","FB",1199,"PDPN",24.3536280233528,0.323564637021074
"SF1","SF","0","FB",1199,"SCX",15.8465387823186,0.227255696482953
"SF1","SF","0","FB",1199,"FAP",12.09341117598,0.141354587397224
"SF1","SF","0","FB",1199,"POSTN",0.583819849874896,0.00679209680462629
"SF1","SF","0","FB",1199,"PDGFRA",25.2710592160133,0.323566165687971
"SF1","SF","0","FB",1199,"APOD",49.7080900750626,1.91665865907416
"SF2","SF","0","FB",885,"CNN1",2.71186440677966,0.0164406412262099
"SF2","SF","0","FB",885,"ITGA8",12.8813559322034,0.145127539086561
"SF2","SF","0","FB",885,"TAGLN",45.1977401129944,0.743127314677771
"SF2","SF","0","FB",885,"ACTA2",11.7514124293785,0.0713926060308071
"SF2","SF","0","FB",885,"TPM1",74.4632768361582,1.15332957023063
"SF2","SF","0","FB",885,"TPM2",41.0169491525424,0.39439465893852
"SF2","SF","0","FB",885,"ITGB1",88.2485875706215,1.44236425636328
"SF2","SF","0","FB",885,"ITGAV",47.2316384180791,0.536486242050252
"SF2","SF","0","FB",885,"BCAR1",15.1412429378531,0.13238385482104
"SF2","SF","0","FB",885,"PIEZO2",22.2598870056497,0.237000942280531
"SF2","SF","0","FB",885,"TEAD2",10.7344632768362,0.0920182069853674
"SF2","SF","0","FB",885,"LIMK1",9.83050847457627,0.0856302451888171
"SF2","SF","0","FB",885,"CNN2",17.9661016949153,0.182222747980214
"SF2","SF","0","FB",885,"TEAD3",6.32768361581921,0.0518579355749547
"SF2","SF","0","FB",885,"PFN1",75.9322033898305,1.04455392947949
"SF2","SF","0","FB",885,"CFL1",87.683615819209,1.57930821908277
"SF2","SF","0","FB",885,"TMEM63B",9.94350282485876,0.0837929870708571
"SF2","SF","0","FB",885,"ITGA5",26.4406779661017,0.278196952235019
"SF2","SF","0","FB",885,"MYLK",22.1468926553672,0.264004564961952
"SF2","SF","0","FB",885,"ILK",61.2429378531073,0.712796781203964
"SF2","SF","0","FB",885,"MYL9",57.8531073446328,0.689639083430687
"SF2","SF","0","FB",885,"NF2",15.1412429378531,0.122827564803537
"SF2","SF","0","FB",885,"PARVA",39.6610169491525,0.407889763198687
"SF2","SF","0","FB",885,"PKD2",40.6779661016949,0.43125528641697
"SF2","SF","0","FB",885,"VCL",45.1977401129944,0.478699241152617
"SF2","SF","0","FB",885,"TEAD4",0.112994350282486,0.00126849108015796
"SF2","SF","0","FB",885,"ITGA2",9.03954802259887,0.0876580849470732
"SF2","SF","0","FB",885,"WWTR1",27.683615819209,0.276317040548019
"SF2","SF","0","FB",885,"FLNA",75.2542372881356,1.01132471041651
"SF2","SF","0","FB",885,"PANX1",5.42372881355932,0.0453861028851481
"SF2","SF","0","FB",885,"TEAD1",25.3107344632768,0.253436277286451
"SF2","SF","0","FB",885,"CDC42",87.683615819209,1.36477834899877
"SF2","SF","0","FB",885,"FERMT2",52.4293785310734,0.562397659094668
"SF2","SF","0","FB",885,"TLN1",60.5649717514124,0.683534264575361
"SF2","SF","0","FB",885,"PKD1",37.2881355932203,0.370328877851787
"SF2","SF","0","FB",885,"TLN2",18.7570621468927,0.179094480966403
"SF2","SF","0","FB",885,"RAC1",86.4406779661017,1.35540121749988
"SF2","SF","0","FB",885,"YAP1",31.1864406779661,0.303912058074097
"SF2","SF","0","FB",885,"PIEZO1",14.5762711864407,0.12657945005942
"SF2","SF","0","FB",885,"TRPV4",1.01694915254237,0.00753673811281845
