"gene","omitted_DD_sample","comparator_identity","retained_samples","median_difference_after_omission","minimum_difference_after_omission","all_retained_differences_positive"
"TEAD1","DD3","VSMC","DD1;DD2",2.18907680739187,1.99065593974829,TRUE
"TEAD1","DD3","Pericyte","DD1;DD2",0.645078761620711,0.491327200437862,TRUE
"CDC42","DD1","FB","DD2;DD3",0.276897849316684,0.109464210455107,TRUE
"CDC42","DD1","VSMC","DD2;DD3",0.263698857663019,0.179929913701788,TRUE
"CDC42","DD1","Pericyte","DD2;DD3",0.619550296580442,0.615674508667308,TRUE
"CDC42","DD2","FB","DD1;DD3",0.154935106116702,0.109464210455107,TRUE
"CDC42","DD2","VSMC","DD1;DD3",0.243840028676358,0.179929913701788,TRUE
"CDC42","DD2","Pericyte","DD1;DD3",0.458996903204311,0.302319297741315,TRUE
"CDC42","DD3","FB","DD1;DD2",0.32236874497828,0.200406001778298,TRUE
"CDC42","DD3","VSMC","DD1;DD2",0.327608972637589,0.307750143650928,TRUE
"CDC42","DD3","Pericyte","DD1;DD2",0.462872691117446,0.302319297741315,TRUE
"FERMT2","DD1","FB","DD2;DD3",0.0966344523070237,0.00709043083923788,TRUE
"FERMT2","DD1","VSMC","DD2;DD3",0.213957547477367,0.00762891458206649,TRUE
"FERMT2","DD1","Pericyte","DD2;DD3",0.148875080417661,0.124921195675285,TRUE
"FERMT2","DD2","FB","DD1;DD3",0.128984584030569,0.00709043083923788,TRUE
"FERMT2","DD2","VSMC","DD1;DD3",0.0681511639222467,0.00762891458206649,TRUE
"FERMT2","DD2","Pericyte","DD1;DD3",0.146248369847298,0.124921195675285,TRUE
"FERMT2","DD3","FB","DD1;DD2",0.218528605498355,0.18617847377481,TRUE
"FERMT2","DD3","VSMC","DD1;DD2",0.274479796817547,0.128673413262427,TRUE
"FERMT2","DD3","Pericyte","DD1;DD2",0.170202254589674,0.167575544019312,TRUE
"TLN1","DD1","FB","DD2;DD3",0.448904894164803,0.166054592276525,TRUE
"TLN1","DD1","VSMC","DD2;DD3",-1.10402458090156,-1.42202707397311,FALSE
"TLN1","DD1","Pericyte","DD2;DD3",-0.428664187812043,-0.576671871931227,FALSE
"TLN1","DD2","FB","DD1;DD3",0.0927437842332663,0.0194329761900081,TRUE
"TLN1","DD2","VSMC","DD1;DD3",-1.41495960332462,-1.42202707397311,FALSE
"TLN1","DD2","Pericyte","DD1;DD3",-0.713164835812271,-0.849657799693315,FALSE
"TLN1","DD3","FB","DD1;DD2",0.375594086121545,0.0194329761900081,TRUE
