"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size"
"DD1","DD","DD","3","Pericyte","inflammation_ap1_nfkb",0.0647819489009538,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","inflammation_ap1_nfkb",0.444911480171519,284,999385.800593251
"DD3","DD","DD","3","Pericyte","inflammation_ap1_nfkb",-0.289193431425478,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","hypoxia",-0.0785621474902072,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","hypoxia",-0.255517097948531,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","hypoxia",-0.209907446640452,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","hypoxia",0.274055627677931,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","hypoxia",0.00657858823134727,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","hypoxia",-0.0791918675324396,369,2290169.69525231
"DD1","DD","DD","0","FB","hypoxia",-0.0396768300864959,831,2349260.25251866
"DD2","DD","DD","0","FB","hypoxia",-0.026263479378988,1426,7157699.18649563
"DD3","DD","DD","0","FB","hypoxia",0.0243495286495061,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","hypoxia",-0.58895057327792,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","hypoxia",1.25665815622474,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","hypoxia",-0.132893962717567,13,68914.7910862474
"DD1","DD","DD","1","Myofib","hypoxia",0.085815136656557,106,833504.751771542
"DD2","DD","DD","1","Myofib","hypoxia",0.0205317714415929,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","hypoxia",0.00553502886818058,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","hypoxia",-0.0590776954137963,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","hypoxia",0.0902710704424945,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","hypoxia",0.00226329750598284,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","hypoxia",0.243955352286862,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","hypoxia",-0.0487359083999858,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","hypoxia",-0.240987347719678,65,443972.448860167
"DD1","DD","DD","2","VSMC","hypoxia",0.0418472235821622,512,1406122.42818261
"DD2","DD","DD","2","VSMC","hypoxia",0.00155050688642818,331,1090646.38574983
"DD3","DD","DD","2","VSMC","hypoxia",-0.184314525543888,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","hypoxia",0.103549684107046,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","hypoxia",0.0331919058239303,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","hypoxia",-0.0829471154792228,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","hypoxia",0.567158879535797,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","hypoxia",-0.0674047989963955,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","hypoxia",-0.478530589504208,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","hypoxia",-0.0544510173601188,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","hypoxia",0.0287042021489032,284,999385.800593251
"DD3","DD","DD","3","Pericyte","hypoxia",-0.158603556579566,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","cell_cycle",0.0630506671436922,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","cell_cycle",-0.376604832604952,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","cell_cycle",1.36110954818345,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","cell_cycle",-0.267991395477587,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","cell_cycle",-0.483585969988143,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","cell_cycle",-0.677013747103826,369,2290169.69525231
"DD1","DD","DD","0","FB","cell_cycle",-0.238194107507763,831,2349260.25251866
