"sample","source","condition","seurat_cluster","reproduced_identity","module","singlet_cells","mean_cell_score","median_cell_score","sd_cell_score"
"SF2","SF","Uninjured","2","VSMC","hippo_yap_taz",198,-0.0637320144214494,-0.0710167012985022,0.136459696505233
"SF2","SF","Uninjured","2","VSMC","actomyosin_rho",198,1.02133036058435,0.995791821014139,0.266671450137324
"SF2","SF","Uninjured","2","VSMC","ecm_remodeling",198,-0.602799597445645,-0.621159426578199,0.149242228802718
"SF2","SF","Uninjured","2","VSMC","tgf_fibrosis",198,-0.147322114464554,-0.157936516041976,0.104773291545764
"SF2","SF","Uninjured","2","VSMC","inflammation_ap1_nfkb",198,0.238322381319449,0.241777676756632,0.199122668468698
"SF2","SF","Uninjured","2","VSMC","hypoxia",198,-0.0872708095852529,-0.103943525029434,0.11148128719684
"SF2","SF","Uninjured","2","VSMC","cell_cycle",198,-0.0964826571536694,-0.10522181677251,0.0474108966569625
"SF2","SF","Uninjured","2","VSMC","primary_mechanotransduction_composite",198,0.223859006025777,0.216027607746082,0.089935594819073
"SF3","SF","Uninjured","2","VSMC","mechanosensor_channels",65,-0.10916581500709,-0.110640566809867,0.0377811058615691
"SF3","SF","Uninjured","2","VSMC","integrin_focal_adhesion",65,0.0334501719083113,0.0173729962514412,0.103571377703274
"SF3","SF","Uninjured","2","VSMC","hippo_yap_taz",65,-0.0998544416595121,-0.117590319222177,0.127423658860391
"SF3","SF","Uninjured","2","VSMC","actomyosin_rho",65,0.913340591600003,0.948068727314492,0.255685377181164
"SF3","SF","Uninjured","2","VSMC","ecm_remodeling",65,-0.639851844289088,-0.665277008572397,0.161816117432064
"SF3","SF","Uninjured","2","VSMC","tgf_fibrosis",65,-0.143659592600012,-0.148733553591847,0.100834650786313
"SF3","SF","Uninjured","2","VSMC","inflammation_ap1_nfkb",65,0.249285873382769,0.31546450513228,0.238405194259717
"SF3","SF","Uninjured","2","VSMC","hypoxia",65,-0.119561533397312,-0.135426598479774,0.111204569404697
"SF3","SF","Uninjured","2","VSMC","cell_cycle",65,-0.0812507573293146,-0.084830273387345,0.0545933440543781
"SF3","SF","Uninjured","2","VSMC","primary_mechanotransduction_composite",65,0.184442626710428,0.205755248169891,0.0879901122156242
"DD1","DD","DD","2","VSMC","mechanosensor_channels",512,-0.0819888593013787,-0.0884750875465279,0.0431951533359599
"DD1","DD","DD","2","VSMC","integrin_focal_adhesion",512,-0.0286201895021979,-0.0349343612823328,0.117663675862912
"DD1","DD","DD","2","VSMC","hippo_yap_taz",512,-0.102464230573578,-0.109864152538613,0.117326323582539
"DD1","DD","DD","2","VSMC","actomyosin_rho",512,0.934454873542365,0.948725121728197,0.29927360591615
"DD1","DD","DD","2","VSMC","ecm_remodeling",512,-0.677700099736394,-0.709465440559481,0.182342783882487
