source,sample_id,target_state,gene,cells,detected_cells,detection_rate,library_size_field
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,PIEZO2,1724,344,0.19953596287703015,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,TEAD1,1724,279,0.16183294663573086,NOT_AVAILABLE
PRJNA607098,SRS6155886,F7: Fascia-like myofibroblast,TMEM63B,1724,3,0.0017401392111368909,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,CDC42,2275,1405,0.6175824175824176,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,CFL1,2275,1927,0.847032967032967,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,CNN2,2275,489,0.21494505494505495,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,FERMT2,2275,1341,0.5894505494505494,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,ITGA2,2275,36,0.015824175824175824,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,ITGA5,2275,929,0.40835164835164833,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,ITGAV,2275,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,ITGB1,2275,1970,0.865934065934066,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,LIMK1,2275,184,0.08087912087912089,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,NF2,2275,251,0.11032967032967032,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,PANX1,2275,157,0.06901098901098901,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,PARVA,2275,761,0.3345054945054945,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,PIEZO2,2275,412,0.1810989010989011,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,TEAD1,2275,341,0.1498901098901099,NOT_AVAILABLE
PRJNA607098,SRS6155887,F7: Fascia-like myofibroblast,TMEM63B,2275,154,0.06769230769230769,NOT_AVAILABLE
