"source","pair_family","gene_a","gene_b","samples","positive_samples","median_excess_co_detection_rate","IQR_excess_co_detection_rate","median_enrichment_ratio","median_permutation_p","wilcoxon_one_sided_p","BH_FDR_within_source_pair_family","descriptive_within_sample_support"
"PRJNA607098","integrin_x_actomyosin","ITGA2","LIMK1",12,8,0.00020449090979571,0.00155670566708791,1.40802725118483,0.40547263681592,0.143001692010353,0.180633716223604,FALSE
"GSE130973","integrin_x_actomyosin","ITGA5","LIMK1",5,1,-0.000356893809685705,0.00113877773556835,0.807893003743167,0.736318407960199,0.749907871464603,0.782512561528281,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA5","LIMK1",12,11,0.00992200192718229,0.0154006308040318,1.140625,0.0621890547263682,0.00167280905792544,0.00267649449268071,TRUE
"GSE130973","integrin_x_actomyosin","ITGAV","LIMK1",5,4,0.00281509341957715,0.00156404153526097,1.55211450092314,0.0995024875621891,0.0398079007300567,0.276021475137319,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGAV","LIMK1",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_actomyosin","ITGB1","LIMK1",5,2,-0.000679864529190055,0.00380557746914449,0.929625800233381,0.751243781094527,0.553630799527826,0.664356959433391,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGB1","LIMK1",12,10,0.00680180541439392,0.00645962293626869,1.056519747557,0.0174129353233831,0.00292353789866024,0.00438530684799036,TRUE
"GSE130973","integrin_x_actomyosin","PARVA","LIMK1",5,2,-0.000611583826013025,0.00164529462884967,0.829533772710079,0.786069651741294,0.749907871464603,0.782512561528281,FALSE
"PRJNA607098","integrin_x_actomyosin","PARVA","LIMK1",12,11,0.0108554411983274,0.00656306432560416,1.18798787419477,0.0323383084577114,0.00167280905792544,0.00267649449268071,TRUE
"GSE130973","integrin_x_hippo","FERMT2","NF2",5,1,-0.000675649764081324,0.00164824761188553,0.85360717729119,0.81592039800995,0.749907871464603,0.749907871464603,FALSE
"PRJNA607098","integrin_x_hippo","FERMT2","NF2",12,9,0.0101476932810885,0.0133922239633804,1.10206916099773,0.0223880597014925,0.0309418755260688,0.0412558340347585,TRUE
"GSE130973","integrin_x_hippo","ITGA2","NF2",5,2,-6.07517623951288e-05,0.000779154492599648,0,1,0.553630799527826,0.603960872212174,FALSE
"PRJNA607098","integrin_x_hippo","ITGA2","NF2",12,9,0.000422237355001291,0.00180308541914365,1.28612012987013,0.395522388059702,0.0164271099643219,0.0281607599388375,TRUE
"GSE130973","integrin_x_hippo","ITGA5","NF2",5,4,0.000702909699095432,0.00269741341086226,1.40256675979441,0.253731343283582,0.17261553588592,0.230154047847893,FALSE
"PRJNA607098","integrin_x_hippo","ITGA5","NF2",12,11,0.0156295730830208,0.0115410484817521,1.15984284532672,0.0124378109452736,0.00167280905792544,0.00334561811585088,TRUE
"GSE130973","integrin_x_hippo","ITGAV","NF2",5,5,0.00200119184891619,0.000787380777572595,1.20133416160674,0.303482587064677,0.0215572233915377,0.11942370219017,FALSE
"PRJNA607098","integrin_x_hippo","ITGAV","NF2",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_hippo","ITGB1","NF2",5,4,0.000783981446781039,0.00158841900749536,1.07569283651207,0.343283582089552,0.112457942007981,0.192785043442253,FALSE
"PRJNA607098","integrin_x_hippo","ITGB1","NF2",12,11,0.00873470035062478,0.00503456063522938,1.0613774724896,0.00995024875621891,0.00167280905792544,0.00334561811585088,TRUE
"GSE130973","integrin_x_hippo","PARVA","NF2",5,3,0.000120210375061721,0.00395093357857449,1.10885865732105,0.557213930348259,0.250092128535397,0.300110554242477,FALSE
"PRJNA607098","integrin_x_hippo","PARVA","NF2",12,10,0.0168546205518342,0.0182718251028892,1.21623712645924,0.00995024875621891,0.0252303043055468,0.0378454564583202,TRUE
"GSE130973","integrin_x_mechanosensor","FERMT2","PANX1",5,3,6.29225515225143e-05,0.00789144624069224,1.01113404849596,0.552238805970149,0.446369200472174,0.573903257749938,FALSE
"PRJNA607098","integrin_x_mechanosensor","FERMT2","PANX1",12,12,0.0122908566175286,0.0113815268422009,1.15213406007171,0.0398009950248756,0.00110886073211853,0.00431012089177878,TRUE
"GSE130973","integrin_x_mechanosensor","ITGA2","PANX1",5,3,0.00110373203748026,0.00130512884508962,1.35348328424622,0.437810945273632,0.112457942007981,0.28917756516338,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGA2","PANX1",12,8,0.000764411175605191,0.00319019796813338,1.46878786899302,0.368159203980099,0.0497404403781822,0.0746106605672734,FALSE
"GSE130973","integrin_x_mechanosensor","ITGA5","PANX1",5,5,0.00324736343900573,0.00113456991020582,1.2284744234517,0.199004975124378,0.0215572233915377,0.194015010523839,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGA5","PANX1",12,11,0.00984047053877037,0.0100144940146499,1.14003542573667,0.0621890547263682,0.00143670696392626,0.00431012089177878,TRUE
"GSE130973","integrin_x_mechanosensor","ITGAV","PANX1",5,4,0.0025315158513735,0.00163115952035393,1.1362368377984,0.298507462686567,0.0690053687843298,0.28917756516338,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGAV","PANX1",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_mechanosensor","ITGB1","PANX1",5,4,0.00201300132750652,0.00272353983254162,1.03938020192336,0.328358208955224,0.250092128535397,0.450165831363715,FALSE
