"gene","module","step08C2_support","step08C2_interpretation","step10B_role","log2fc","ave_expr","t","p_value","q_genome","cell_line","age_background","contrast","present_after_filter","q_candidate"
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate",0.691665695971177,6.12793738269265,3.36102411151293,0.006147755851484,0.0192070681108683,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.0115270422215325
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate",0.235157252296616,6.51426092140198,1.8490222257328,0.0879803764412456,0.15638907683166,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.119973240601699
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate",-0.27265027482211,8.49594431342776,-2.22525364795454,0.0449450784507288,0.0931785060363464,"GM09503","young_10y","tgfb_present_vs_absent_tension",TRUE,0.0749084640845481
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-1.54667341502997,8.54548437790078,-7.88405151282832,3.14667954092385e-06,0.000841134739485313,"GM09503","young_10y","mechanical_x_tgfb",TRUE,2.33786579795297e-05
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-1.17418736835403,11.2221895417477,-8.5930106320426,1.24362001114747e-06,0.000543537315781211,"GM09503","young_10y","mechanical_x_tgfb",TRUE,1.8654300167212e-05
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate",-1.10468909075329,9.90799274558812,-7.59439816918705,4.67573159590593e-06,0.00096340109725359,"GM09503","young_10y","mechanical_x_tgfb",TRUE,2.33786579795297e-05
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.0763157999529884,8.88244242785277,0.491002075519779,0.63184231662854,0.761681085393346,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.720307898062834
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.357627390460507,8.53639942350322,2.35228357518466,0.0355885905289081,0.114875881293618,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.0889714763222701
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.908001387329915,7.36316506012958,-4.7136036220689,0.000437258068806815,0.00776671567290726,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.00163971775802556
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.220191534322716,8.98352543688276,-1.25266122304558,0.233017136166234,0.404106384620289,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.436907130311688
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.0963059113997584,7.32004497240032,0.367319035119076,0.720307898062834,0.823290228610319,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.720307898062834
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.248791116649789,8.34188750988088,1.12596138323597,0.282401021697697,0.457699734346094,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.470668369496162
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.224784912247473,1.74178423414139,-0.375443780548131,0.713557471611916,0.818615925314879,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.720307898062834
